# Windowed Run Results
Window: last 20 CDS codons (60nt) + first 200nt 3UTR
Config: r=8, alpha=16, dropout=0.1, lr=1e-4, batch=64, head_dropout=0.1

epoch | eval_loss | eval_f1 | eval_auroc
------|-----------|---------|----------
  1.0 | 0.6983780860900879 | 0.24294501015343786 | 0.5161896243291593
  2.0 | 0.7258169054985046 | 0.23172905525846704 | 0.5127331970355226
  3.0 | 0.6881875991821289 | 0.4320400481668572 | 0.5113020700230002
  4.0 | 0.6909120082855225 | 0.4826403685895648 | 0.5259391771019678
  5.0 | 0.728110671043396 | 0.23172905525846704 | 0.5142537694863275
  6.0 | 0.712688148021698 | 0.23172905525846704 | 0.5188090978788653
  7.0 | 0.6900495886802673 | 0.4786385880024193 | 0.5215819064656273
  8.0 | 0.6872895359992981 | 0.4788686790009125 | 0.5218182979810886
  9.0 | 0.6900842785835266 | 0.4295839241686787 | 0.48560567339637106
 10.0 | 0.7017150521278381 | 0.23172905525846704 | 0.5158318425760287
 11.0 | 0.6863899827003479 | 0.4325271430886404 | 0.5182724252491694
 12.0 | 0.6959434151649475 | 0.23172905525846704 | 0.515435727063634
 13.0 | 0.6870408654212952 | 0.4514172853955598 | 0.5185599284436494
 14.0 | 0.6866364479064941 | 0.44776017214397495 | 0.5185854842831588
 15.0 | 0.6888176798820496 | 0.47773854036837005 | 0.5187324303603374
 16.0 | 0.6928300261497498 | 0.23172905525846704 | 0.5159851776130846
 17.0 | 0.6864163875579834 | 0.4514172853955598 | 0.5185854842831588
  1.0 | 0.6983780860900879 | 0.24294501015343786 | 0.5161896243291593
  2.0 | 0.7258169054985046 | 0.23172905525846704 | 0.5127331970355226
  3.0 | 0.6881875991821289 | 0.4320400481668572 | 0.5113020700230002
  4.0 | 0.6909120082855225 | 0.4826403685895648 | 0.5259391771019678
  5.0 | 0.728110671043396 | 0.23172905525846704 | 0.5142537694863275
  6.0 | 0.712688148021698 | 0.23172905525846704 | 0.5188090978788653
  7.0 | 0.6900495886802673 | 0.4786385880024193 | 0.5215819064656273
  8.0 | 0.6872895359992981 | 0.4788686790009125 | 0.5218182979810886
  9.0 | 0.6900842785835266 | 0.4295839241686787 | 0.48560567339637106
 10.0 | 0.7017150521278381 | 0.23172905525846704 | 0.5158318425760287
 11.0 | 0.6863899827003479 | 0.4325271430886404 | 0.5182724252491694
 12.0 | 0.6959434151649475 | 0.23172905525846704 | 0.515435727063634
 13.0 | 0.6870408654212952 | 0.4514172853955598 | 0.5185599284436494
 14.0 | 0.6866364479064941 | 0.44776017214397495 | 0.5185854842831588
 15.0 | 0.6888176798820496 | 0.47773854036837005 | 0.5187324303603374
 16.0 | 0.6928300261497498 | 0.23172905525846704 | 0.5159851776130846
 17.0 | 0.6864163875579834 | 0.4514172853955598 | 0.5185854842831588
